Company:,Scotts ID:,Legal Name:,# of Employees:,Address:,Sales:,Square Footage:,Telephone:,Year Established:,Head Office:,Geocoded By:,Fax:,Web Site:,Census Division:,Executives:,NAICS:,Business Types:,Products:,Exporter (Y/N):,Location Address:
4DM Inc.,32444888,4DM Inc.,15,803-920 Yonge St,$1-5 Million,"3,200",416-410-7569,1998,,Address,,www.4dm-inc.com,"Toronto Metropolitan Municipality, ON",Mr. Steven McArdle-Pres,541620-Environmental Consulting Services,"Professional, Scientific & Technical Services",Geospatial consulting,N,"803-920 Yonge StToronto,ONM4W3C7"
519 Church St Community Ctr,87614585,The 519 Church St Community Centre,45,519 Church St,$1-5 Million,,416-392-6874,1979,,Address,416-392-0519,www.the519.org,"Toronto Metropolitan Municipality, ON",Ms. Maura Lawless-Exec Dir,813410-Civic and Social Organizations,Services,Association: community,N,"519 Church StToronto,ONM4Y2C9"
52 Pick-up Inc.,54129856,52 Pick-up Inc.,16,314-672 Dupont St,$1-5 Million,,416-537-5200,1998,,Address,416-537-5354,www.52pick-up.com,"Toronto Metropolitan Municipality, ON","Ms. Susan McIntee-Co-Owner
Mr. Nick Monteleone-Co-Owner","541611-Administrative Management and General Management Consulting Services
541430-Graphic Design Services
541619-Other Management Consulting Services","Professional, Scientific & Technical Services","Graphic design services, Communications consultants: corporate, Brand consulting & design",N,"314-672 Dupont StToronto,ONM6G1Z6"
747 Travel Inc.,30774089,747 Travel Inc.,5,2182 Dundas St W,Under $1 Million,,416-535-0955,1972,,Address,416-533-4695,www.747travel.on.ca,"Toronto Metropolitan Municipality, ON",Mr. Mike Milicevic-Pres/Owner,561510-Travel Agencies,"Administrative and Support, Waste Management and Remediation Services",Travel agency,N,"2182 Dundas St WToronto,ONM6R1X3"
90th Parallel Productions Ltd.,19799686,90th Parallel Productions Ltd.,5,1118-130 Queens Quay E,Under $1 Million,,416-364-9090,1987,,Address,416-364-0580,www.90thparallel.ca,"Toronto Metropolitan Municipality, ON","Ms. Susanne Cuffe-Prod Mgr
Mr. Gordon Henderson-Chairman
Mr. Stuart Henderson-Pres",512110-Motion Picture and Video Production,Information and Cultural Industries,Film & video production: documentary,N,"1118-130 Queens Quay EToronto,ONM5A0P6"
999 Art Direction,115878771,999 Art Direction,,802-110 St Clair Ave W,N/A,,416-820-7130,,,Address,,www.999ad.ca,"Toronto Metropolitan Municipality, ON",Mr. Christopher Laspa-Owner,"541619-Other Management Consulting Services
541514-Computer Systems Design and Related Services (Except Video Game Design and Development)
541430-Graphic Design Services","Professional, Scientific & Technical Services","Designers: logo, Marketing firm: internet, Marketing services: social media, Web site design services, Web site design services: mobile",,"802-110 St Clair Ave WToronto,ONM4V1N4"
9thCO Inc.,75442253,9thCO Inc.,25,1004-60 St Clair Ave E,N/A,,416-923-9898,1997,,Address,416-923-5911,www.9thco.com,"Toronto Metropolitan Municipality, ON","Mr. Ezra Silverton-Dir-Interactive
Ms. Jennifer Snowball-Office Mgr","541619-Other Management Consulting Services
541514-Computer Systems Design and Related Services (Except Video Game Design and Development)","Professional, Scientific & Technical Services","Web site design services, Web applications, Marketing firm: internet, Web hosting",N,1004-60 St Clair Ave EM4T1N5
A & D Moving & Storage Ltd.,19041681,A & D Moving & Storage Ltd.,4,660 Eastern Ave,Under $1 Million,"1,200",416-690-2100,1973,,Address,,www.admovers.ca,"Toronto Metropolitan Municipality, ON",Mr. Angus Gillis-Pres,484210-Used Household and Office Goods Moving,Transportation and Warehousing,Movers: local & long distance,N,"660 Eastern AveToronto,ONM4M3H1"
A Bisket A Basket Inc.,20101911,A Bisket A Basket Inc.,3,93 Front St E,Under $1 Million,150,416-594-0111,1991,,Address,,www.abisketabasket.ca,"Toronto Metropolitan Municipality, ON",Mr. Urs Aeby-Owner,"311420-Fruit and Vegetable Canning, Pickling and Drying
413190-Other Specialty-Line Food Merchant Wholesalers","Manufacturer
Wholesaler","Condiments, Jams",N,93 Front St EM5E1C3
A C S Design,84140872,A C S Design,2,27 Gillespie Ave,Under $1 Million,,416-656-1454,1990,,Address,416-656-9454,,"Toronto Metropolitan Municipality, ON",Mr. Sam Pasquale-Partner,541310-Architectural Services,"Professional, Scientific & Technical Services","Architectural firm: residential, Architectural firm: comm, Architectural services",N,"27 Gillespie AveToronto,ONM6N2Y5"
A J Stained Glass Supply,19524752,A J Stained Glass Supply,5,2108 Dundas St W,Under $1 Million,"6,000",416-531-2770,1975,Artistic Glass Ltd.2106-2112 Dundas St WTorontoONM6R1W9,Address,416-531-4695,www.artisticglass.com,"Toronto Metropolitan Municipality, ON","Mr. Joseph Aigner-Pres/Owner
Ms. Donna Odo-Admn Mgr","327215-Glass Product Manufacturing from Purchased Glass
611690-All Other Schools and Instruction","Educational Services
Manufacturer","Windows: stained glass, Glass: art, Glass: beveled, Glass: decorative, Training courses: stained glass",,"2108 Dundas St WToronto,ONM6R1W9"
A Jug of Wine Ltd.,75816250,A Jug of Wine Ltd.,3,3407 Yonge St,Under $1 Million,"2,000",416-487-5680,1995,,Address,,www.ajugofwine.com,"Toronto Metropolitan Municipality, ON",Mr. Howard Kaizer-Owner,238350-Finish Carpentry Contractors,Construction,Wine cellar installation,N,"3407 Yonge StToronto,ONM4N2M8"
A Pappas & Son Real Estate Ltd,18785751,Andrew Pappas & Son Real Estate Ltd.,5,731 Danforth Ave,N/A,,416-461-0756,1967,,Address,416-461-0758,,"Toronto Metropolitan Municipality, ON",Mr. George Pappas-Pres,531212-Offices of Real Estate Brokers,Real Estate,"Real estate brokers: res, comm, indl",N,"731 Danforth AveToronto,ONM4J1L2"
A&G Shanks Plumbing & Heating,18564551,A. & G. Shanks Plumbing & Heating Limited,10,717A Mount Pleasant Rd,$1-5 Million,,416-481-7215,1943,,Address,416-481-8078,,"Toronto Metropolitan Municipality, ON",Mr. Neil Sellick-Serv Mgr,"238220-Plumbing, Heating and Air-Conditioning Contractors",Construction,"Plumbing contractors: res, Heating contractors: residential",N,"717 A Mount Pleasant RdFloor 2Toronto,ONM4S2N4"
A. Roy Miller Funeral Chapel,122787648,A. Roy Miller Funeral Chapel,1,1695 St Clair Ave W,N/A,,416-656-3585,,,Address,416-656-1712,www.newediukfuneralhome.com,"Toronto Metropolitan Municipality, ON",Mr. John Newediuk-Owner/Funeral Dir,812210-Funeral Homes,Services,"Funeral home, Funeral industry services",N,"1695 St Clair Ave WToronto,ONM6N1J2"
A.B.C. Iron Railing & Welding,18551285,A.B.C. Iron Railing & Welding Ltd.,3,333 Margueretta St,Under $1 Million,,416-535-3333,1973,,Address,416-533-2265,,"Toronto Metropolitan Municipality, ON",Mr. Carlos Caetano-Owner,"332329-Other Ornamental and Architectural Metal Product Manufacturing
811310-Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance","Manufacturer
Services","Railings: metal, Fire escapes, Welding shop",N,333 Margueretta StM6H3S4
A.C.D. Wholesale Meats Ltd.,19043364,A.C.D. Wholesale Meats Ltd.,30,140 Ryding Ave,$50-75 Million,,416-766-2200,1978,,Address,416-766-9944,,"Toronto Metropolitan Municipality, ON","Mr. Albert Domingues-Pres
Mrs. Fye Jao-Mgr",413160-Red Meat and Meat Product Merchant Wholesalers,"Wholesaler
Distributor","Meat: fresh, Meat products",N,"140 Ryding AveToronto,ONM6N1H2"
A.K.A. New Media Inc.,73102148,A.K.A. New Media Inc.,20,100-20 Maud St,N/A,,416-323-1981,1999,,Address,416-323-1982,www.akanewmedia.com,"Toronto Metropolitan Municipality, ON","Mr. Assadour Kirijian-Partner
Mr. Matthew Myers-Partner","541619-Other Management Consulting Services
541810-Advertising Agencies
611420-Computer Training
541514-Computer Systems Design and Related Services (Except Video Game Design and Development)","Educational Services
Professional, Scientific & Technical Services","Web hosting, Web site management services, Web site development, Branding & visual identity services, B2B e-commerce, Computer software consultants, Computer consultants, Data management services, Computer training, Interactive marketing, Computer software development",N,"100-20 Maud StToronto,ONM5V2M5"
A.R. Consulting,115828358,A.R. Consulting,,604-141 Roehampton Ave,N/A,,416-932-9510,,,Address,416-932-9769,www.condominiumconsulting.ca,"Toronto Metropolitan Municipality, ON",Mr. Alan Rosenberg-Pres,531310-Real Estate Property Managers,Real Estate,Property management: condominium rentals,N,"604-141 Roehampton AveToronto,ONM4P1P9"
A.S.T. Jewellery,75931834,A.S.T. Jewellery,2,801-477 Richmond St W,N/A,600,416-203-7265,2001,,Address,,www.designbysevan.com,"Toronto Metropolitan Municipality, ON",Mr. Sevan Tosun-Owner,"414410-Jewellery and Watch Merchant Wholesalers
339910-Jewellery and Silverware Manufacturing","Manufacturer
Wholesaler","Jewellery: custom, Jewellery",YExport Countries:Europe,"801-477 Richmond St WToronto,ONM5V3E7"
A.T. Kearney Ltd.,84141482,A.T. Kearney Ltd.,52,1910-121 King St W,$5-10 Million,,416-977-6886,1930,,Address,416-977-1315,www.atkearney.com,"Toronto Metropolitan Municipality, ON",Mrs. Rosie Wong-Office Mgr,541611-Administrative Management and General Management Consulting Services,"Professional, Scientific & Technical Services",Management consultants,N,"1910-121 King St WToronto,ONM5H3T9"
A.U.G. Signals Ltd.,19524900,A.U.G. Signals Ltd.,21,103-73 Richmond St W,N/A,,416-923-4425,1986,,Address,416-923-9129,www.augsignals.com,"Toronto Metropolitan Municipality, ON",Mr. George Lampropoulos-Owner,541514-Computer Systems Design and Related Services (Except Video Game Design and Development),"Professional, Scientific & Technical Services","Computer programming services, Computer software: custom",N,"103-73 Richmond St WToronto,ONM5H4E8"
A-1 Rentals,34241795,A-1 Rentals,1,135 Jarvis St,Under $1 Million,"1,000",416-361-0332,1971,Toronto Business Machines Ltd.135 Jarvis StTorontoONM5C2H6,Address,416-361-0837,www.torontobusinessmachines.com,"Toronto Metropolitan Municipality, ON",Mr. Moe Aslam-Gen Mgr,"453210-Office Supplies and Stationery Stores
532420-Office Machinery and Equipment Rental and Leasing
443144-Computer and Software Stores","Retail
Rental and Leasing Services","Computers: retail, Printers: computer, Office supplies & equipment: retail, Rental: office machine, Business machines: retail",Y,"135 Jarvis StToronto,ONM5C2H6"
A10K Inc.,116749492,A10K Inc.,6,1005-480 University Ave,N/A,,416-596-2432,2004,,Address,416-596-7828,www.a10kinc.ca,"Toronto Metropolitan Municipality, ON",Ms. Kate Reddon-Underwriter,524210-Insurance Agencies and Brokerages,Insurance,Insurance: special risk,,"1005-480 University AveToronto,ONM5G1V2"
A2Z PC Service,122861729,A2Z PC Service,,2184 Dundas St W,N/A,,416-534-1611,,,Address,,www.a2zpc.ca,"Toronto Metropolitan Municipality, ON",,"443144-Computer and Software Stores
811210-Electronic and Precision Equipment Repair and Maintenance","Services
Retail","Computer repair & maintenance, Computer store",N,"2184 Dundas St WToronto,ONM6R1X3"
A5 Agencies,123148985,A5 Agencies,,700-2 Bloor St W,N/A,,416-849-2255,,,Address,416-849-2277,www.a5media.ca,"Toronto Metropolitan Municipality, ON",,"541810-Advertising Agencies-Primary
541514-Computer Systems Design and Related Services (Except Video Game Design and Development)
541619-Other Management Consulting Services","Professional, Scientific & Technical Services","Advertising agency, Marketing firm, Search engine optimization",,"700-2 Bloor St WToronto,ONM4W3E2"
AA - GTA Intergroup,36012417,Alcoholics Anonymous - GTA Intergroup,5,202-234 Eglinton Ave E,Under $1 Million,,416-487-5591,1939,Alcoholics AnonymousPO Box 459 Grand Central StnNew YorkNY10163,Address,416-487-5855,www.aatoronto.org,"Toronto Metropolitan Municipality, ON",Ms. Gail Dobbs-Office Mgr,"813990-Other Membership Organizations
813910-Business Associations
813310-Social Advocacy Organizations",Services,"Association: addiction services, Association: non-profit",N,"202-234 Eglinton Ave EToronto,ONM4P1K5"
AAA Lock Emergency Services,51507873,AAA Lock Emergency Services,9,730 Dovercourt Rd,Under $1 Million,,416-536-4079,1995,,Address,,,"Toronto Metropolitan Municipality, ON",Mr. Vince Scali-Owner,"416210-Metal Service Centres
416330-Hardware Merchant Wholesalers
561622-Locksmiths
811490-Other Personal and Household Goods Repair and Maintenance
416390-Other Specialty-Line Building Supplies Merchant Wholesalers","Distributor
Services
Wholesaler
Administrative and Support, Waste Management and Remediation Services","Locksmith services, Locksmith services: emergency, Key duplicating services, Lock parts, Locks: dead bolt, Locks: security, Locks: cabinet, chest & drawer, Bars: security, Keys: machine",N,"730 Dovercourt RdToronto,ONM6H2W9"
Abacus Private Equity,84142480,Abacus Private Equity,9,161 Bay St,$1-5 Million,,416-861-8711,,Abacus Private Equity2578-550 Burrard StVancouverBCV6C2B5,Address,416-861-9979,www.abacuspe.com,"Toronto Metropolitan Municipality, ON",Mr. Jean-Marc Bougie-CEO,"523920-Portfolio Management
523110-Investment Banking and Securities Dealing",Finance,"Investment banking firm, Investment management services",N,"161 Bay StToronto,ONM5J2S1"
Aban Orchid Signs Inc.,19525148,Aban Orchid Signs Inc.,2,38 Camden St,Under $1 Million,"3,000",416-977-2550,1997,,Address,,www.orchidsigns.com,"Toronto Metropolitan Municipality, ON",Mr. Bahman Daliri-Owner,"323115-Digital Printing
323119-Other Printing
339950-Sign Manufacturing",Manufacturer,"Signs: neon, Signs: vinyl, Signs: electrical, Signs: metal, Lettering, Printing: large format",N,"38 Camden StLower LevelToronto,ONM5V1V1"
ABAS Canada,196802044,ABAS Canada,,1801-1 Yonge St,N/A,,416-216-5436,,,Address,,abas-erp.com,"Toronto Metropolitan Municipality, ON",,"417310-Computer, Computer Peripheral and Pre-Packaged Software Merchant Wholesalers",Manufacturer's Sales Office,Computer software: ERP,,1801-1 Yonge StM5E1W7Parent Company:ABAS - N.A. Headquarters
Abbarch Architecture Inc.,111879121,Abbarch Architecture Inc.,,700-2323 Yonge St,N/A,,416-340-8441,1979,,Address,,www.abbarch.com,"Toronto Metropolitan Municipality, ON",Ms. Michelle Beggs-Principal,541310-Architectural Services,"Professional, Scientific & Technical Services",Architectural firm,N,"700-2323 Yonge StToronto,ONM4P2C9"
Abbott Research & Consulting,120285719,Abbott Research & Consulting,3,18 Banff Rd,Under $1 Million,,416-481-7409,2001,,Address,,www.abbottresearch.com,"Toronto Metropolitan Municipality, ON","Ms. Susan Abbott-Pres
Mr. Bruce Winning-Consultant","541910-Marketing Research and Public Opinion Polling
541611-Administrative Management and General Management Consulting Services","Professional, Scientific & Technical Services","Business management consultants, Market research & analysis",N,18 Banff RdM4S2V5
Abbozzo Gallery,19099482,Abbozzo Gallery,3,128-401 Richmond St W,N/A,"4,000",416-260-2220,1993,,Address,,www.abbozzogallery.com,"Toronto Metropolitan Municipality, ON",Mrs. Ineke Zigrossi-Owner,"811490-Other Personal and Household Goods Repair and Maintenance
532290-Other Consumer Goods Rental
541430-Graphic Design Services
712111-Non-Commercial Art Museums and Galleries
541990-All Other Professional, Scientific and Technical Services
453920-Art Dealers
541410-Interior Design Services","Arts, Entertainment and Recreation
Rental and Leasing Services
Professional, Scientific & Technical Services
Services
Retail","Art gallery, Comm art services, Appraisers, Rental: art works, Interior decorating services, Oil painting restoration, Art dealers: retail",YExport Countries:Worldwide,128-401 Richmond St WM5V3A8
ABC Funds,18752156,ABC Funds,8,1010-18 King St E,$1-5 Million,,416-365-9696,1988,,Address,416-365-9705,www.abcfunds.com,"Toronto Metropolitan Municipality, ON","Mr. Irwin Michael-Pres
Mr. RYAN MICHAEL-Senior Research Analyst
Mr. IAN D’SOUZA-Ops Mgr
Mrs. LUCY SOLANKOVA-Mgr-Client Serv",523920-Portfolio Management,Finance,Mutual fund management,N,"1010-18 King St EToronto,ONM5C1C4"
ABC Life Literacy Canada,73549861,ABC Life Literacy Canada,4,604-110 Eglinton Ave E,Under $1 Million,,416-218-0010,1990,,Address,416-218-0457,www.abclifeliteracy.ca,"Toronto Metropolitan Municipality, ON","Mack Rogers-Prog Dir
Ana Oliveira-Mgr-Mktg/Partnerships","813210-Grant-Making and Giving Services
813310-Social Advocacy Organizations
813910-Business Associations",Services,"Advocacy group, Charitable organizations, Association: literacy, Association: non-profit",N,"604-110 Eglinton Ave EToronto,ONM4P2Y1"
ABCAN Consulting Incorporated,58978530,ABCAN Consulting Incorporated,5PO Box 1441 Stn K,,Under $1 Million,,416-322-2000,1991,,Postal Code,,www.abcanconsulting.com,"Toronto Metropolitan Municipality, ON",Mr. Al Bukey-Pres,"541611-Administrative Management and General Management Consulting Services
541619-Other Management Consulting Services
611430-Professional and Management Development Training
541690-Other Scientific and Technical Consulting Services","Professional, Scientific & Technical Services
Educational Services","Management consultants, Product testing & certification, Supply chain consultants, Manufacturing consultants, Training programs: business, custom","YExport Countries:United States, Turkey",
ABE,36154061,ABE,1PO Box 176 Stn E,,Under $1 Million,,416-530-4222,1991,,Postal Code,,www.satellite-416.com,"Toronto Metropolitan Municipality, ON",Mr. Ales Brezina-Owner/Editor,511110-Newspaper Publishers,Information and Cultural Industries,Publishing: newspaper,N,
Abe Gitalis Real Estate Ltd.,30796421,Abe Gitalis Real Estate Ltd.,13,111A-219 Dufferin St,$1-5 Million,,416-504-4400,1975,,Address,,www.gitalis.com,"Toronto Metropolitan Municipality, ON","Mr. Abe Gitalis-VP
Mr. Zev Gitalis-Pres",531212-Offices of Real Estate Brokers,Real Estate,"Real estate agents: commercial, Real estate agents: industrial, Real estate agents: condominiums, Real estate agents",N,111A-219 Dufferin StM6K3J1
Aberdeen International Inc.,76828692,Aberdeen International Inc.,6,815-65 Queen St W,$5-10 Million,,416-861-2267,2005,,Address,416-861-8165,www.aberdeeninternational.ca,"Toronto Metropolitan Municipality, ONStock Symbol:AABMarket:Toronto Stock Exchange",Mr. David Stein-Pres/COO,522299-All Other Non-Depository Credit Intermediation,Finance,Bank: merchant,N,"815-65 Queen St WToronto,ONM5H2M5"
Ability Learning Network,54070306,Ability Learning Network,8,274 Geary Ave,Under $1 Million,"8,300",416-350-2331,1993,,Address,416-350-2119,www.aln.ca,"Toronto Metropolitan Municipality, ON",Ms. Lisa Mcdonald-Mgr,"611690-All Other Schools and Instruction
611210-Community Colleges and C.E.G.E.P.s
611510-Technical and Trade Schools",Educational Services,"School: trade, College: private, Career counselling",N,"274 Geary AveToronto,ONM6H2C5"
ABM Research Ltd.,19057670,ABM Research Ltd.,13,34 Distillery Lane,Under $1 Million,,416-961-5511,1979,,Address,416-961-5341,www.abm-research.com,"Toronto Metropolitan Municipality, ON","Mr. Ron Beasley-Pres
Mr. Will Taylor-Office Mgr",541910-Marketing Research and Public Opinion Polling,"Professional, Scientific & Technical Services",Market research: commercial,N,"34 Distillery LaneToronto,ONM5A3C4"
Aboriginal Legal Services,19058321,Aboriginal Legal Services,60,500-211 Yonge St,Under $1 Million,,416-408-3967,1989,,Address,416-408-1568,www.aboriginallegal.ca,"Toronto Metropolitan Municipality, ON",Ms. Jonathan Rudin-Legal Svcs Adv,541110-Offices of Lawyers,"Professional, Scientific & Technical Services",Legal aid services,N,"500-211 Yonge StToronto,ONM5B1M4"
About Communications,82383143,About Communications,10,354-157 Adelaide St W,$1-5 Million,,416-923-9229,2007,,Address,647-259-8708,www.aboutez.com,"Toronto Metropolitan Municipality, ON",Mr. Probal Lala-Gen Mgr,"517111-Wired Telecommunications Carriers (except Cable)
517910-Other Telecommunications
518210-Data Processing, Hosting, and Related Services",Information and Cultural Industries,"Telephone communication services: local, Telephone communication services: long distance, Internet service provider, Web hosting",N,2 Carlton StM5B1J3
About Translations Ltd.,120495378,About Translations Ltd.,10,2500-120 Adelaide St W,N/A,,416-512-9304,,,Address,,www.abouttranslations.com,"Toronto Metropolitan Municipality, ON",Mr. Mohamed-Dir,541930-Translation and Interpretation Services,"Professional, Scientific & Technical Services",Translation services,,"2500-120 Adelaide St WToronto,ONM5H1T1"
Above + Beyond,115879571,Above + Beyond,2,202-460 College St,Under $1 Million,,416-633-4584,2001,,Address,,www.abovebeyond.ca,"Toronto Metropolitan Municipality, ON",Ms. Tracey Levison-Partner/Associate,"541611-Administrative Management and General Management Consulting Services
541619-Other Management Consulting Services","Professional, Scientific & Technical Services",Business consultants,N,"202-460 College StToronto,ONM6G1A1"
Abrahamse Berkis Pinto LLP,18775158,Abrahamse Berkis Pinto LLP,27,901-2 St Clair Ave W,$1-5 Million,,416-927-8700,1996,,Address,416-927-8948,,"Toronto Metropolitan Municipality, ON","Mr. Chris Abrahamse-Sr Partner
Mr. Ronald Berkis-Partner
Mrs. Arja Grosser-Office Mgr
Ms. Tracey Pappin-CA
Mr. Richard Pinto-Partner",541212-Offices of Accountants,"Professional, Scientific & Technical Services",Accounting firm,N,"901-2 St Clair Ave WToronto,ONM4V1L5"
"Abrams & Krochak, lawyers",32408503,"Abrams & Krochak, Canadian Immigration Lawyers",9,402-250 Merton St,Under $1 Million,,416-482-3387,1996,,Address,416-482-0647,www.akcanada.com,"Toronto Metropolitan Municipality, ON","Mr. Jeffrey Abrams-Partner
Mr. Peter Krochak-Partner",541110-Offices of Lawyers,"Professional, Scientific & Technical Services",Legal firm: immigration,,"402-250 Merton StToronto,ONM4S1B1"
ABS Movers & Storage Ltd.,119892671,ABS Movers & Storage Ltd.,,17 Dora Ave,N/A,,416-588-1499,2011,,Address,416-588-9561,www.absmovers.ca,"Toronto Metropolitan Municipality, ON",,484210-Used Household and Office Goods Moving,Transportation and Warehousing,Moving & storage: local & long distance,N,17 Dora AveM6H1J5
ABSO Lock Inc.,18574584,ABSO Lock Inc.,4,391 Dundas St E,Under $1 Million,,416-868-1005,1979,,Address,416-868-0999,,"Toronto Metropolitan Municipality, ON",Mr. Mo Chow-Mgr,561622-Locksmiths,"Administrative and Support, Waste Management and Remediation Services",Locksmith services,N,"391 Dundas St EToronto,ONM5A2A6"
